Drug1_Binding_Affinity,Drug1_Renal_Clearance,Drug1_LogP,Drug2_Binding_Affinity,Drug2_Renal_Clearance,Drug2_LogP,Interaction,Drug1_CYP_0,Drug1_CYP_1,Drug1_CYP_2,Drug1_CYP_3,Drug2_CYP_0,Drug2_CYP_1,Drug2_CYP_2,Drug2_CYP_3
0.5666666666666667,0.9646666666666667,0.27749999999999997,0.2833333333333332,0.5420000000000001,0.6825,0,True,False,False,False,False,False,False,True
0.41666666666666674,0.64,0.23249999999999998,0.5666666666666667,0.29600000000000004,0.9175,0,False,False,False,True,False,False,False,True
0.6000000000000001,0.262,0.9325000000000001,0.5666666666666667,0.28266666666666673,0.55,1,False,True,False,False,False,False,True,False
0.75,0.4706666666666667,0.9299999999999999,0.8,0.2446666666666667,0.03999999999999998,0,True,False,False,False,False,False,True,False
0.8,0.9900000000000001,0.385,0.2833333333333332,0.9466666666666667,0.6225,0,True,False,False,False,True,False,False,False
0.3833333333333333,0.0653333333333333,0.2475,0.8833333333333333,0.4733333333333334,0.53,1,False,False,True,False,False,True,False,False
0.8166666666666667,0.41466666666666674,0.8600000000000001,0.9833333333333334,0.3766666666666667,0.2825,1,False,True,False,False,False,True,False,False
0.7833333333333332,0.46199999999999997,0.6775,0.5666666666666667,0.4833333333333334,0.6475,1,False,False,True,False,False,False,True,False
0.8999999999999999,0.6133333333333334,0.25749999999999995,0.11666666666666659,0.1146666666666667,0.09499999999999997,0,True,False,False,False,False,False,True,False
0.8500000000000001,0.02266666666666667,0.2975,0.16666666666666663,0.9440000000000001,0.6325,0,True,False,False,False,False,False,True,False
0.06666666666666665,0.18466666666666665,0.7549999999999999,0.6666666666666667,0.7939999999999999,0.24,0,False,False,False,True,False,True,False,False
0.3999999999999999,0.1246666666666667,0.08500000000000002,0.9333333333333333,0.924,0.13,0,True,False,False,False,True,False,False,False
0.2333333333333334,0.7253333333333335,0.09999999999999998,0.8,0.526,0.08750000000000002,0,True,False,False,False,False,False,True,False
0.8833333333333333,0.42266666666666675,0.8525,0.1499999999999999,0.42866666666666664,0.8174999999999999,0,True,False,False,False,False,True,False,False
0.4666666666666668,0.5746666666666667,0.655,0.8500000000000001,0.7860000000000001,0.030000000000000027,0,False,False,True,False,False,False,True,False
0.29999999999999993,0.7000000000000001,0.034999999999999976,0.8333333333333333,0.866,0.9575,1,True,False,False,False,True,False,False,False
0.04999999999999993,0.3953333333333333,0.485,0.3999999999999999,0.20466666666666666,0.475,0,False,False,True,False,False,False,True,False
0.7833333333333332,0.10866666666666663,0.4575,0.75,0.5720000000000001,0.375,0,False,False,False,True,False,True,False,False
0.04999999999999993,0.9173333333333334,0.47250000000000003,0.7166666666666666,0.031333333333333324,0.09999999999999998,0,False,False,True,False,True,False,False,False
0.43333333333333335,0.6900000000000001,0.5075,0.2333333333333334,0.9786666666666667,0.08250000000000002,0,False,False,False,True,False,True,False,False
0.7166666666666666,0.43066666666666664,0.345,0.2333333333333334,0.6320000000000001,0.475,0,True,False,False,False,True,False,False,False
0.016666666666666607,0.18199999999999994,0.66,0.11666666666666659,0.41866666666666663,0.94,0,False,False,True,False,False,False,True,False
0.2333333333333334,0.17000000000000004,0.5525,0.31666666666666654,0.028000000000000025,0.13,1,False,True,False,False,True,False,False,False
0.1499999999999999,0.18866666666666665,0.8975,0.6166666666666667,0.07133333333333336,0.47250000000000003,0,False,False,False,True,True,False,False,False
0.0,0.11933333333333335,0.9650000000000001,0.7833333333333332,0.8913333333333332,0.10749999999999998,0,False,True,False,False,False,False,False,True
0.29999999999999993,0.6806666666666666,0.675,0.6833333333333333,0.84,0.5775,0,True,False,False,False,False,False,False,True
